"","week","age_group","total_vaccinated","perc_doses"
"1",2021-09-19,"0-17 years",0,0
"2",2021-09-19,"18-49 years",12463,0.00198819208842166
"3",2021-09-19,"50-64 years",13537,0.00361267395517477
"4",2021-09-19,"65-74 years",32859,0.0152347172960567
"5",2021-09-19,"75+ years",24312,0.0160505971440078
"6",2021-09-26,"0-17 years",0,0
"7",2021-09-26,"18-49 years",78568,0.0125337620158159
"8",2021-09-26,"50-64 years",61868,0.016510963452667
"9",2021-09-26,"65-74 years",139541,0.0646966641166516
"10",2021-09-26,"75+ years",101355,0.0669137986809356
"11",2021-10-03,"0-17 years",0,0
"12",2021-10-03,"18-49 years",83494,0.0133195948191189
"13",2021-10-03,"50-64 years",70513,0.0188180895768072
"14",2021-10-03,"65-74 years",113867,0.0527931937779632
"15",2021-10-03,"75+ years",85151,0.0562160413544507
"16",2021-10-10,"0-17 years",0,0
"17",2021-10-10,"18-49 years",80217,0.0127968229765643
"18",2021-10-10,"50-64 years",76259,0.020351547842777
"19",2021-10-10,"65-74 years",93142,0.0431842733616153
"20",2021-10-10,"75+ years",73731,0.0486766443741706
"21",2021-10-17,"0-17 years",0,0
"22",2021-10-17,"18-49 years",91852,0.0146529262381214
"23",2021-10-17,"50-64 years",94771,0.0252919201747705
"24",2021-10-17,"65-74 years",110912,0.0514231402276468
"25",2021-10-17,"75+ years",84375,0.0557037320675245
"26",2021-10-24,"0-17 years",0,0
"27",2021-10-24,"18-49 years",168513,0.0268824691804702
"28",2021-10-24,"50-64 years",185948,0.0496246950296844
"29",2021-10-24,"65-74 years",231715,0.107432134826251
"30",2021-10-24,"75+ years",176199,0.116325237174113
"31",2021-10-31,"0-17 years",0,0
"32",2021-10-31,"18-49 years",219454,0.0350089630564461
"33",2021-10-31,"50-64 years",211441,0.0564281150739535
"34",2021-10-31,"65-74 years",214761,0.0995715974685305
"35",2021-10-31,"75+ years",162499,0.107280601567297
"36",2021-11-07,"0-17 years",0,0
"37",2021-11-07,"18-49 years",254722,0.0406351813485472
"38",2021-11-07,"50-64 years",223809,0.0597288132698315
"39",2021-11-07,"65-74 years",177311,0.0822083130491226
"40",2021-11-07,"75+ years",131621,0.086895181255818
"41",2021-11-14,"0-17 years",0,0
"42",2021-11-14,"18-49 years",337766,0.0538829887617614
"43",2021-11-14,"50-64 years",287449,0.076712677531287
"44",2021-11-14,"65-74 years",165748,0.0768472540974106
"45",2021-11-14,"75+ years",119294,0.0787569897868239
"46",2021-11-21,"0-17 years",0,0
"47",2021-11-21,"18-49 years",296607,0.047316993562584
"48",2021-11-21,"50-64 years",218792,0.058389906183098
"49",2021-11-21,"65-74 years",95740,0.0443888077520458
"50",2021-11-21,"75+ years",65814,0.0434499013012392
"51",2021-11-28,"0-17 years",0,0
"52",2021-11-28,"18-49 years",437937,0.0698630248437069
"53",2021-11-28,"50-64 years",322740,0.0861309294742635
"54",2021-11-28,"65-74 years",134285,0.0622597769895913
"55",2021-11-28,"75+ years",90327,0.0596331971136389
"56",2021-12-05,"0-17 years",3260,0.00514800514800515
"57",2021-12-05,"18-49 years",494270,0.0788496913699893
"58",2021-12-05,"50-64 years",313549,0.0836780901212302
"59",2021-12-05,"65-74 years",115285,0.0534506340264738
"60",2021-12-05,"75+ years",74129,0.0489394009414343
"61",2021-12-12,"0-17 years",17339,0.027380754988117
"62",2021-12-12,"18-49 years",492995,0.078646293719926
"63",2021-12-12,"50-64 years",280404,0.0748325498800935
"64",2021-12-12,"65-74 years",96552,0.0447652827039432
"65",2021-12-12,"75+ years",60450,0.0399086293745998
"66",2021-12-19,"0-17 years",34962,0.0552099864983301
"67",2021-12-19,"18-49 years",415692,0.0663143340784866
"68",2021-12-19,"50-64 years",209569,0.0559285268606058
"69",2021-12-19,"65-74 years",68586,0.0317991515404409
"70",2021-12-19,"75+ years",43453,0.0286873394907276
"71",2021-12-26,"0-17 years",33359,0.0526786207767803
"72",2021-12-26,"18-49 years",395100,0.0630293423842895
"73",2021-12-26,"50-64 years",193954,0.0517612886386915
"74",2021-12-26,"65-74 years",57039,0.0264455108143821
"75",2021-12-26,"75+ years",33790,0.0223079005222122
"76",2022-01-02,"0-17 years",77335,0.122122999423613
"77",2022-01-02,"18-49 years",492088,0.078501602215136
"78",2022-01-02,"50-64 years",224387,0.0598830664681835
"79",2022-01-02,"65-74 years",68199,0.0316197232074553
"80",2022-01-02,"75+ years",39809,0.0262815984577906
"81",2022-01-09,"0-17 years",113189,0.178741581195569
"82",2022-01-09,"18-49 years",422788,0.0674463417058187
"83",2022-01-09,"50-64 years",183353,0.048932156881374
"84",2022-01-09,"65-74 years",56711,0.0262934371884925
"85",2022-01-09,"75+ years",34032,0.0224676670781866
"86",2022-01-16,"0-17 years",94820,0.149734309243512
"87",2022-01-16,"18-49 years",332765,0.0530851913908076
"88",2022-01-16,"50-64 years",138296,0.036907613009149
"89",2022-01-16,"65-74 years",42392,0.0196545888680251
"90",2022-01-16,"75+ years",26379,0.0174152147935909
"91",2022-01-23,"0-17 years",66244,0.104608727921611
"92",2022-01-23,"18-49 years",291922,0.0465696069033322
"93",2022-01-23,"50-64 years",114008,0.0304257761898179
"94",2022-01-23,"65-74 years",35099,0.016273268887498
"95",2022-01-23,"75+ years",21721,0.0143400386872735
"96",2022-01-30,"0-17 years",45759,0.0722599900514011
"97",2022-01-30,"18-49 years",203401,0.032448066996474
"98",2022-01-30,"50-64 years",78384,0.0209186551896594
"99",2022-01-30,"65-74 years",24845,0.0115191135220344
"100",2022-01-30,"75+ years",15259,0.0100738755273287
"101",2022-02-06,"0-17 years",33186,0.0524054290925457
"102",2022-02-06,"18-49 years",143184,0.02284179539345
"103",2022-02-06,"50-64 years",55912,0.0149214616371228
"104",2022-02-06,"65-74 years",18357,0.00851102301968148
"105",2022-02-06,"75+ years",11770,0.0077704643133009
"106",2022-02-13,"0-17 years",26176,0.0413356388816511
"107",2022-02-13,"18-49 years",109497,0.0174677901874273
"108",2022-02-13,"50-64 years",42150,0.0112487410216899
"109",2022-02-13,"65-74 years",13556,0.00628509168463268
"110",2022-02-13,"75+ years",8361,0.00551986848967789
"111",2022-02-20,"0-17 years",22220,0.0350885504259737
"112",2022-02-20,"18-49 years",107431,0.0171382062305406
"113",2022-02-20,"50-64 years",36857,0.00983617669837308
"114",2022-02-20,"65-74 years",11121,0.00515613046804368
"115",2022-02-20,"75+ years",6669,0.00440282298261714
"116",2022-02-27,"0-17 years",16684,0.0263464165304656
"117",2022-02-27,"18-49 years",99081,0.0158061510320875
"118",2022-02-27,"50-64 years",31814,0.00849033088645417
"119",2022-02-27,"65-74 years",9499,0.00440410784245543
"120",2022-02-27,"75+ years",5675,0.00374659175683794
"121",2022-03-06,"0-17 years",14238,0.0224838335267783
"122",2022-03-06,"18-49 years",65266,0.0104117262972742
"123",2022-03-06,"50-64 years",22443,0.0059894542052144
"124",2022-03-06,"65-74 years",7365,0.00341470199596634
"125",2022-03-06,"75+ years",4471,0.00295172013124625
"126",2022-03-13,"0-17 years",14064,0.0222090626998602
"127",2022-03-13,"18-49 years",57984,0.00925004654216816
"128",2022-03-13,"50-64 years",21233,0.00566653661004845
"129",2022-03-13,"65-74 years",7206,0.00334098337853815
"130",2022-03-13,"75+ years",4418,0.00291672993510309
"131",2022-03-20,"0-17 years",12808,0.0202256594894632
"132",2022-03-20,"18-49 years",51121,0.00815520883833779
"133",2022-03-20,"50-64 years",19230,0.00513198789672828
"134",2022-03-20,"65-74 years",6886,0.00319261886547511
"135",2022-03-20,"75+ years",4312,0.00284674954281678
"136",2022-03-27,"0-17 years",7612,0.0120204341063237
"137",2022-03-27,"18-49 years",32331,0.00515768582289664
"138",2022-03-27,"50-64 years",14416,0.00384725624124987
"139",2022-03-27,"65-74 years",8271,0.00383475902357605
"140",2022-03-27,"75+ years",5334,0.00352146615523764
